Block,Pos,Date,Weight (g),Measured_by,Entered_by,Missing,Notes
E3,1,2023-01-13,83.88,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,2,2023-01-13,66.85,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,3,2023-01-13,49.7,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,4,2023-01-13,46.06,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,5,2023-01-13,45.22,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,6,2023-01-13,33.86,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,7,2023-01-13,41.33,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,8,2023-01-13,88.67,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,9,2023-01-13,40.28,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,10,2023-01-13,63.42,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,11,2023-01-13,36.9,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,12,2023-01-13,32.37,Olivia Bain and Charles Last,Charles Last and Olivia Bain,1,
E3,13,2023-01-13,54.99,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,14,2023-01-13,47.32,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,15,2023-01-13,58.31,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,16,2023-01-13,52.58,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,17,2023-01-13,43.71,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,18,2023-01-13,72.43,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,19,2023-01-13,41.95,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,20,2023-01-13,57.25,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,21,2023-01-13,36.76,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,22,2023-01-13,42.64,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,23,2023-01-13,62.34,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,24,2023-01-13,37.25,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,25,2023-01-13,65.96,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,26,2023-01-13,37.97,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,27,2023-01-13,35.65,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,28,2023-01-13,106.38,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,29,2023-01-13,38.82,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,30,2023-01-13,46.88,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,31,2023-01-13,37.88,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,32,2023-01-13,43.51,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,33,2023-01-13,107.5,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,34,2023-01-13,37.29,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,35,2023-01-13,47.77,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,36,2023-01-13,53.79,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,37,2023-01-13,33.83,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,38,2023-01-13,60.4,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,39,2023-01-13,42.51,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,40,2023-01-13,53.71,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,41,2023-01-13,42.78,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,42,2023-01-13,49.62,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,43,2023-01-13,43.45,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,44,2023-01-13,24.62,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,45,2023-01-13,50.23,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,46,2023-01-13,37.48,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,47,2023-01-13,41.62,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,48,2023-01-13,42.8,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,49,2023-01-13,49.36,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,50,2023-01-13,36.04,Olivia Bain and Charles Last,Charles Last and Olivia Bain,,
E3,51,2023-01-16,33.99,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,52,2023-01-16,52.93,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,53,2023-01-16,44.72,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,54,2023-01-16,60.07,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,55,2023-01-16,39.7,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,56,2023-01-16,42.72,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,57,2023-01-16,36.66,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,58,2023-01-16,76.73,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,59,2023-01-16,35.09,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,60,2023-01-16,51.61,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,61,2023-01-16,62.95,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,62,2023-01-16,35.03,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,63,2023-01-16,68.47,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,64,2023-01-16,36.39,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,65,2023-01-16,62.01,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,66,2023-01-16,47.64,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,67,2023-01-16,35.72,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,68,2023-01-16,32.71,Olivia Bain and Charles Last,Olivia Bain and Charles Last,1,
E3,69,2023-01-16,62.98,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,70,2023-01-16,60.74,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,71,2023-01-16,35.58,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,72,2023-01-16,34.2,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,73,2023-01-16,54.73,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,74,2023-01-16,45.23,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,75,2023-01-16,36.91,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,76,2023-01-16,65.8,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,77,2023-01-16,37.4,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,78,2023-01-16,85.05,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,79,2023-01-16,45.57,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,80,2023-01-16,75.06,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,81,2023-01-16,50.79,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,82,2023-01-16,47.98,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,83,2023-01-16,32.26,Olivia Bain and Charles Last,Olivia Bain and Charles Last,1,
E3,84,2023-01-16,36.23,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,85,2023-01-16,35.66,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,86,2023-01-16,40.4,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,87,2023-01-16,34.71,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,88,2023-01-16,39.7,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,89,2023-01-16,32.69,Olivia Bain and Charles Last,Olivia Bain and Charles Last,1,
E3,90,2023-01-16,41.58,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,91,2023-01-16,32.45,Olivia Bain and Charles Last,Olivia Bain and Charles Last,1,
E3,92,2023-01-16,40.08,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,93,2023-01-16,39.93,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,94,2023-01-16,33.2,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,95,2023-01-16,50.27,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,96,2023-01-16,120.78,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,97,2023-01-16,34.4,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,98,2023-01-16,83.72,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,99,2023-01-16,36.96,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,100,2023-01-16,44.37,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,101,2023-01-16,41.52,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,102,2023-01-16,39.48,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,103,2023-01-16,78.32,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,104,2023-01-16,49.88,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,105,2023-01-16,78.15,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,106,2023-01-16,53.53,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,107,2023-01-16,33.31,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,108,2023-01-16,33.28,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,109,2023-01-16,40.1,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,110,2023-01-16,41.27,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,111,2023-01-16,76.28,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,112,2023-01-16,46.21,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,113,2023-01-16,59.97,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,114,2023-01-16,43.58,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,115,2023-01-16,49.49,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,116,2023-01-16,47.94,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,117,2023-01-16,62.1,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,118,2023-01-16,50.61,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,119,2023-01-16,36.81,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,120,2023-01-16,40.98,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,121,2023-01-16,63.75,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,122,2023-01-16,34.78,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,123,2023-01-16,34.97,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,124,2023-01-16,42.62,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,125,2023-01-16,44.4,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,126,2023-01-16,68.83,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,127,2023-01-16,40.2,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,128,2023-01-16,43.64,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,129,2023-01-16,47.45,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,130,2023-01-16,53.24,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,131,2023-01-16,35.86,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,132,2023-01-16,34.31,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,133,2023-01-16,72.42,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,134,2023-01-16,40.57,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,135,2023-01-16,55.55,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,136,2023-01-16,51.46,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,137,2023-01-16,52.09,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,138,2023-01-16,64.02,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,139,2023-01-16,42.2,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,140,2023-01-16,54.37,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,141,2023-01-16,72.06,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,142,2023-01-16,34.17,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,143,2023-01-16,49.39,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,144,2023-01-16,47.41,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,145,2023-01-16,66.78,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,146,2023-01-16,44.49,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,147,2023-01-16,35.19,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,148,2023-01-16,40.39,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,149,2023-01-16,38.84,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,150,2023-01-16,76.82,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,151,2023-01-16,88.66,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,152,2023-01-16,37.44,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,153,2023-01-16,43.18,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,154,2023-01-16,36.49,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,155,2023-01-16,32.64,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,156,2023-01-16,70.45,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,157,2023-01-16,44.29,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,158,2023-01-16,48.66,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,159,2023-01-16,41.32,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,160,2023-01-16,41.17,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,161,2023-01-16,88.6,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,162,2023-01-16,37.53,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,163,2023-01-16,45.44,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,164,2023-01-16,47.6,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,165,2023-01-16,76.54,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,166,2023-01-16,68.96,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,167,2023-01-16,32.47,Olivia Bain and Charles Last,Olivia Bain and Charles Last,1,
E3,168,2023-01-16,54.92,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,169,2023-01-16,33.56,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,170,2023-01-16,37.47,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,171,2023-01-16,52.91,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,172,2023-01-16,78.46,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,173,2023-01-16,62.25,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,174,2023-01-16,34.83,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,175,2023-01-16,52.46,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,176,2023-01-16,45.47,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,177,2023-01-16,36.81,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,178,2023-01-16,55.71,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,179,2023-01-16,39.59,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,180,2023-01-16,61.41,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,181,2023-01-16,40.11,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,182,2023-01-16,33.1,Olivia Bain and Charles Last,Olivia Bain and Charles Last,1,
E3,183,2023-01-16,59.14,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,184,2023-01-16,59.84,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,185,2023-01-16,39.15,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,186,2023-01-16,37.33,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,187,2023-01-16,42.2,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,188,2023-01-16,44.18,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,189,2023-01-16,34.98,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,190,2023-01-16,43.91,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,191,2023-01-16,33.19,Olivia Bain and Charles Last,Olivia Bain and Charles Last,1,
E3,192,2023-01-16,39.6,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,193,2023-01-16,57.62,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,194,2023-01-16,72.7,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,195,2023-01-16,53.43,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,196,2023-01-16,68.66,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,197,2023-01-16,50.09,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,198,2023-01-16,37.84,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,199,2023-01-16,81.43,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E3,200,2023-01-16,60.58,Olivia Bain and Charles Last,Olivia Bain and Charles Last,,
E4,1,2023-04-03,32.51,Vivian Nguyen,Gabrielle Janfield,1,
E4,2,2023-04-03,32.90,Vivian Nguyen,Gabrielle Janfield,1,
E4,3,2023-04-03,65.01,Vivian Nguyen,Gabrielle Janfield,,
E4,4,2023-04-03,64.95,Vivian Nguyen,Gabrielle Janfield,,
E4,5,2023-04-03,46.82,Vivian Nguyen,Gabrielle Janfield,,
E4,6,2023-04-03,33.96,Vivian Nguyen,Gabrielle Janfield,,
E4,7,2023-04-03,41.49,Vivian Nguyen,Gabrielle Janfield,,
E4,8,2023-04-03,33.06,Vivian Nguyen,Gabrielle Janfield,1,no fruit 
E4,9,2023-04-03,37.16,Vivian Nguyen,Gabrielle Janfield,,
E4,10,2023-04-03,36.57,Vivian Nguyen,Gabrielle Janfield,,
E4,11,2023-04-03,49.27,Vivian Nguyen,Gabrielle Janfield,,
E4,12,2023-04-03,47.73,Vivian Nguyen,Gabrielle Janfield,,
E4,13,2023-04-03,52.39,Vivian Nguyen,Gabrielle Janfield,,
E4,14,2023-04-05,45.47,Vivian Nguyen,Gabrielle Janfield,,weight w/o pollinator bag: 45.47g; pollinator bag: 5.41g
E4,15,2023-04-05,35.26,Kris Sanchez,Gabrielle Janfield,,
E4,16,2023-04-05,42.12,Vivian Nguyen,Gabrielle Janfield,,
E4,17,2023-04-05,50.55,Kris Sanchez,Gabrielle Janfield,,
E4,18,2023-04-05,49.08,Vivian Nguyen,Gabrielle Janfield,,
E4,19,2023-04-05,43.26,Kris Sanchez,Gabrielle Janfield,,
E4,20,2023-04-05,41.99,Vivian Nguyen,Gabrielle Janfield,,
E4,21,2023-04-05,44.78,Kris Sanchez,Gabrielle Janfield,,
E4,22,2023-04-05,36.85,Kris Sanchez,Gabrielle Janfield,,
E4,23,2023-04-05,37.78,Vivian Nguyen,Gabrielle Janfield,,
E4,24,2023-04-05,40.36,Kris Sanchez,Gabrielle Janfield,,
E4,25,2023-04-05,35.01,Vivian Nguyen,Gabrielle Janfield,,
E4,26,2023-04-05,36.15,Vivian Nguyen,Gabrielle Janfield,,
E4,27,2023-04-05,41.95,Kris Sanchez,Gabrielle Janfield,,
E4,28,2023-04-05,69.54,Vivian Nguyen,Gabrielle Janfield,,
E4,29,2023-04-05,33.98,Kris Sanchez,Gabrielle Janfield,,
E4,30,2023-04-05,47.41,Kris Sanchez,Gabrielle Janfield,,
E4,31,2023-04-05,32.87,Vivian Nguyen,Gabrielle Janfield,1,
E4,32,2023-04-05,38.55,Vivian Nguyen,Gabrielle Janfield,,
E4,33,2023-04-05,46.09,Vivian Nguyen,Gabrielle Janfield,,
E4,34,2023-04-05,52.43,Kris Sanchez,Gabrielle Janfield,,
E4,35,2023-04-05,45.79,Vivian Nguyen,Gabrielle Janfield,,
E4,36,2023-04-05,44.49,Vivian Nguyen,Gabrielle Janfield,,
E4,37,2023-04-05,38.60,Kris Sanchez,Gabrielle Janfield,,
E4,38,2023-04-05,56.68,Vivian Nguyen,Gabrielle Janfield,,
E4,39,2023-04-05,34.17,Kris Sanchez,Gabrielle Janfield,,
E4,40,2023-04-05,36.35,Vivian Nguyen,Gabrielle Janfield,,
E4,41,2023-04-05,35.71,Kris Sanchez,Gabrielle Janfield,,
E4,42,2023-04-05,35.55,Vivian Nguyen,Gabrielle Janfield,,
E4,43,2023-04-05,44.86,Kris Sanchez,Gabrielle Janfield,,
E4,44,2023-04-05,40.95,Vivian Nguyen,Gabrielle Janfield,,
E4,45,2023-04-05,39.46,Vivian Nguyen,Gabrielle Janfield,,
E4,46,2023-04-05,45.26,Vivian Nguyen,Gabrielle Janfield,,
E4,47,2023-04-05,33.07,Kris Sanchez,Gabrielle Janfield,1,no fruit 
E4,48,2023-04-05,35.08,Vivian Nguyen,Gabrielle Janfield,,
E4,49,2023-04-05,39.03,Kris Sanchez,Gabrielle Janfield,,
E4,50,2023-04-05,37.01,Vivian Nguyen,Gabrielle Janfield,,
E4,51,2023-04-27,40.06,Gabrielle Janfield,Gabrielle Janfield,,
E4,52,2023-04-27,49.67,Gabrielle Janfield,Gabrielle Janfield,,
E4,53,2023-04-27,35.44,Gabrielle Janfield,Gabrielle Janfield,,
E4,54,2023-04-27,36.52,Gabrielle Janfield,Gabrielle Janfield,,
E4,55,2023-04-27,40.75,Gabrielle Janfield,Gabrielle Janfield,,
E4,56,2023-04-27,33.24,Gabrielle Janfield,Gabrielle Janfield,,
E4,57,2023-04-27,36.24,Gabrielle Janfield,Gabrielle Janfield,,
E4,58,2023-04-27,33.66,Gabrielle Janfield,Gabrielle Janfield,,
E4,59,2023-04-27,34.12,Gabrielle Janfield,Gabrielle Janfield,,
E4,60,2023-04-27,32.78,Gabrielle Janfield,Gabrielle Janfield,,
E4,61,2023-04-27,33.66,Gabrielle Janfield,Gabrielle Janfield,,
E4,62,2023-04-27,40.78,Gabrielle Janfield,Gabrielle Janfield,,
E4,63,2023-04-27,57.94,Gabrielle Janfield,Gabrielle Janfield,,
E4,64,2023-04-27,33.12,Gabrielle Janfield,Gabrielle Janfield,,
